,,Total,Play a lot,Play some,Never Play
ID,Question,Agree,Agree,Agree,Agree
,Goal Clarity,,,,
Q2,It was easy to understand the goal of the game,"52,63%","63,64%","42,86%","0,00%"
,Feedback,,,,
Q3,It is easy to understand when I do something wrong in the game,"78,95%","63,64%","100,00%","100,00%"
Q4,It is easy to understand when I do something good in the game,"89,47%","90,91%","85,71%","100,00%"
Q6,I liked the sounds of the game,"78,95%","72,73%","85,71%","100,00%"
,Challenge,,,,
Q7,I get bored when playing the game,"10,53%","9,09%","14,29%","0,00%"
Q8,The game was too easy,"15,79%","18,18%","14,29%","0,00%"
Q9,The game was adequately difficult,"57,89%","45,45%","71,43%","100,00%"
Q10,The game was too hard,"36,84%","36,36%","28,57%","100,00%"
Q11,My skill gradually improved when playing the game,"89,47%","100,00%","71,43%","100,00%"
,Autonomy,,,,
Q12,I felt in control of the movements of the player,"68,42%","63,64%","71,43%","100,00%"
Q13,I could recover from errors I made in the game,"68,42%","63,64%","71,43%","100,00%"
,Immersion,,,,
Q14,Time goes by fast when plaing the game,"84,21%","100,00%","57,14%","100,00%"
Q15,I become unaware of my surroundings when playing the game,"89,47%","81,82%","100,00%","100,00%"
,Social Interaction,,,,
Q16,I was competing with others to reach the furthest,"31,58%","36,36%","14,29%","100,00%"
Q19,I cooperated well with the other player,"89,47%","81,82%","100,00%","100,00%"
Q20,The other player cooperated well with me,"89,47%","81,82%","100,00%","100,00%"
