Question,Mean,Median,Variance,ST.Dev
Q1,"3,6842105263",4,"0,2280701754","0,4775669329"
Q2,"2,5789473684",3,"1,701754386","1,3045130839"
Q3,"3,1578947368",3,"1,0292397661","1,014514547"
Q4,"3,4210526316",4,"0,701754386","0,8377078166"
Q5,"3,9473684211",4,"0,0526315789","0,2294157339"
Q6,"3,2631578947",4,"1,0935672515","1,045737659"
Q7,"1,3684210526",1,"0,9122807018","0,9551338659"
Q8,"1,4736842105",1,"1,0409356725","1,0202625508"
Q9,"2,5789473684",3,"1,5906432749","1,2612070706"
Q10,"2,1052631579",2,"1,5438596491","1,2425214884"
Q11,"3,5263157895",4,"0,9298245614","0,9642741111"
Q12,"3,0526315789",4,"1,3859649123","1,1772701102"
Q13,"2,8421052632",3,"1,5847953216","1,2588865404"
Q14,"3,2631578947",4,"1,2046783626","1,0975784084"
Q15,"3,6842105263",4,"0,6725146199","0,8200698872"
Q16,"1,7894736842",1,"1,2865497076","1,1342617456"
Q17,"3,8947368421",4,"0,0994152047","0,3153017676"
Q18,"3,9473684211",4,"0,0526315789","0,2294157339"
Q19,"3,6842105263",4,"0,4502923977","0,6710382982"
Q20,"3,7894736842",4,"0,3976608187","0,6306035353"
Q21,4,4,0,0
Q22,4,4,0,0
